Código_AEMET,Nombre,Provincia,Municipio,Altitud,Latitud,Longitud,Tipo,Fecha_Inicio,Fecha_Final
B013X,"ESCORCA, LLUC",ILLES BALEARS,,490,394924N,025309E,,,
B051A,"SÓLLER, PUERTO",ILLES BALEARS,,5,394744N,024129E,,,
B087X,BANYALBUFAR,ILLES BALEARS,,60,394121N,023046E,,,
B103B,ANDRATX - SANT ELM,ILLES BALEARS,,52,393446N,022208E,,,
B158X,"CALVIÀ, ES CAPDELLÀ",BALEARES,,50,393305N,022759E,,,
B228,"PALMA, PUERTO",ILLES BALEARS,,3,393315N,023731E,,,
B236C,"PALMA, UNIVERSITAT",ILLES BALEARS,,95,393832N,023838E,,,
B248,"SIERRA DE ALFABIA, BUNYOLA",ILLES BALEARS,,1030,394406N,024247E,,,
B275E,"SON BONET, AEROPUERTO",BALEARES,,47,393621N,024224E,,,
B278,"PALMA DE MALLORCA, AEROPUERTO",BALEARES,,5,393339N,024412E,,,
B301,"LLUCMAJOR, CAP BLANC",ILLES BALEARS,,113,392247N,024706E,,,
B334X,LLUCMAJOR,ILLES BALEARS,,140,392944N,025330E,,,
B341X,PORRERES,ILLES BALEARS,,149,393022N,030020E,,,
B346X,PORRERES,ILLES BALEARS,,120,393118N,030109E,,,
B362X,"CAMPOS, CAN SION",ILLES BALEARS,,40,392421N,030351E,,,
B373X,"CAMPOS, SALINES LLEVANT",ILLES BALEARS,,3,392104N,030043E,,,
B398A,"CABRERA, PARQUE NACIONAL DE CABRERA",ILLES BALEARS,,165,390808N,025612E,,,
B410B,SANTANYÍ,ILLES BALEARS,,45,392024N,030845E,,,
B434X,PORTOCOLOM  ,ILLES BALEARS,,17,392452N,031618E,,,
B496X,SON SERVERA,ILLES BALEARS,,25,393749N,032301E,,,
B526X,ARTÀ,ILLES BALEARS,,110,394119N,032104E,,,
B569X,CAPDEPERA,ILLES BALEARS,,57,394300N,032841E,,,
B603X,ARTÀ-COLÒNIA DE SANT PERE,ILLES BALEARS,,99,394323N,031643E,,,
B605X,"MURO, S'ALBUFERA",ILLES BALEARS,,2,394748N,030617E,,,
B614E,MANACOR,ILLES BALEARS,,100,393325N,031304E,,,
B640X,PETRA,ILLES BALEARS,,95,393659N,030716E,,,
B644B,SINEU,ILLES BALEARS,,120,393836N,030008E,,,
B656A,SANTA MARÍA DEL CAMÍ,ILLES BALEARS,,121,393909N,024801E,,,
B662X,BINISSALEM,ILLES BALEARS,,105,394041N,025226E,,,
B684A,"ESCORCA, SON TORRELLA",ILLES BALEARS,,842,394734N,024716E,,,
B691,LA PUEBLA (SA CANOVA),BALEARES,,40,394454N,030055E,,,
B691Y,SA POBLA,BALEARES,,32,394457N,030100E,,,
B760X,POLLENÇA,ILLES BALEARS,,45,395237N,030127E,,,
B780X,PORT DE POLLENÇA,ILLES BALEARS,,2,395434N,030601E,,,
B800X,"LA MOLA, MAÓ",ILLES BALEARS,,78,395234N,041926E,,,
B825B,ES MERCADAL,ILLES BALEARS,,80,395926N,040511E,,,
B860X,CIUTADELLA,ILLES BALEARS,,20,395934N,035114E,,,
B870C,"CIUTADELLA, CALA GALDANA",ILLES BALEARS,,43,395641N,035724E,,,
B893,"MENORCA, AEROPUERTO",BALEARES,,91,395117N,041256E,,,
B908X,SANT JOAN DE LABRITJA,ILLES BALEARS,,110,390322N,012933E,,,
B925,SANT ANTONI DE PORTMANY,ILLES BALEARS,,32,385747N,011917E,,,
B954,"IBIZA, AEROPUERTO",ILLES BALEARS,,6,385235N,012304E,,,
B957,EIVISSA,ILLES BALEARS,,3,385522N,012629E,,,
B986,FORMENTERA,ILLES BALEARS,,24,384137N,012749E,,,
C018J,TÍAS,LAS PALMAS,,376,285811N,134125W,,,
C019V,YAIZA PLAYA BLANCA,LAS PALMAS,,6,285132N,135006W,,,
C029O,LANZAROTE AEROPUERTO,LAS PALMAS,,14,285707N,133601W,,,
C038N,HARÍA,LAS PALMAS,,277,290837N,132921W,,,
C048W,TINAJO,LAS PALMAS,,275,290233N,134051W,,,
C101A,ROQUE DE LOS MUCHACHOS,STA. CRUZ DE TENERIFE,,2223,284521N,175343W,,,
C117A,PUNTAGORDA,STA. CRUZ DE TENERIFE,,684,284538N,175908W,,,
C117Z,TIJARAFE,STA. CRUZ DE TENERIFE,,733,284029N,175612W,,,
C126A,EL PASO,STA. CRUZ DE TENERIFE,,844,283914N,175111W,,,
C129V,FUENCALIENTE,STA. CRUZ DE TENERIFE,,19,282718N,175028W,,,
C129Z,TAZACORTE,SANTA CRUZ DE TENERIFE,,62,283545N,175455W,,,
C139E,LA PALMA AEROPUERTO,SANTA CRUZ DE TENERIFE,,33,283759N,174518W,,,
C148F,SAN ANDRÉS Y SAUCES,STA. CRUZ DE TENERIFE,,362,284817N,174656W,,,
C229J,PÁJARA,LAS PALMAS,,15,280257N,142129W,,,
C239N,"TUINEJE,PUERTO GRAN TARAJAL",LAS PALMAS,,1,281231N,140123W,,,
C248E,ANTIGUA,LAS PALMAS,,252,282501N,140109W,,,
C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,,25,282641N,135147W,,,
C258K,LA OLIVA,LAS PALMAS,,217,283645N,135554W,,,
C314Z,"VALLEHERMOSO, ALTO IGUALERO  ",STA. CRUZ DE TENERIFE,,1474,280625N,171457W,,,
C316I,ARURE,STA. CRUZ DE TENERIFE,,916,280742N,171854W,,,
C317B,AGULO,STA. CRUZ DE TENERIFE,,765,281044N,171247W,,,
C319W,"VALLEHERMOSO, DAMA",STA. CRUZ DE TENERIFE,,190,280315N,171823W,,,
C328W,HERMIGUA,STA. CRUZ DE TENERIFE,,252,280949N,171139W,,,
C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,,219,280154N,171239W,,,
C329Z,SAN SEBASTIÁN DE LA GOMERA,STA. CRUZ DE TENERIFE,,15,280523N,170641W,,,
C406G,"LA OROTAVA, CAÑADAS TEIDE",STA. CRUZ DE TENERIFE,,2150,281327N,163734W,,,
C412N,CITFAGRO_89_CHAVAO,STA. CRUZ DE TENERIFE,,2071,281311N,164219W,,,
C415A,CITFAGRO_64_HOYOS,STA. CRUZ DE TENERIFE,,990,281819N,164820W,,,
C417J,CITFAGRO_74_CHIO,STA. CRUZ DE TENERIFE,,735,281400N,164721W,,,
C418I,CITFAGRO_05_GUIAISO1,STA. CRUZ DE TENERIFE,,476,281252N,164723W,,,
C418L,CITFAGRO_76_POZO,STA. CRUZ DE TENERIFE,,700,281201N,164547W,,,
C419L,LOMO DEL BALO,SANTA CRUZ DE TENERIFE,,403,281225N,164731W,,,
C419X,ADEJE,STA. CRUZ DE TENERIFE,,130,280453N,164238W,,,
C422A,CITFAGRO_94_LOSTOPOS,STA. CRUZ DE TENERIFE,,1833,281019N,163905W,,,
C423R,CITFAGRO_90_PICACHO,STA. CRUZ DE TENERIFE,,1654,281327N,163116W,,,
C426E,CITFAGRO_13_VILAFLOR,STA. CRUZ DE TENERIFE,,1258,280839N,163741W,,,
C426I,CITFAGRO_77_PINAL,STA. CRUZ DE TENERIFE,,880,280737N,163621W,,,
C426R,CITFAGRO_09_HELECHO,STA. CRUZ DE TENERIFE,,930,281301N,162926W,,,
C428T,ARICO,STA. CRUZ DE TENERIFE,,418,281051N,162860W,,,
C428U,CITFAGRO_01_ARICO,STA. CRUZ DE TENERIFE,,135,280752N,162821W,,,
C429I,TENERIFE SUR AEROPUERTO,SANTA CRUZ DE TENERIFE,,64,280249N,163340W,,,
C430E,IZAÑA,SANTA CRUZ DE TENERIFE,,2369,281830N,162959W,,,
C436I,CITFAGRO_54_TOPONEGRO,STA. CRUZ DE TENERIFE,,290,281935N,162420W,,,
C436L,CITFAGRO_96_ARAYA,STA. CRUZ DE TENERIFE,,525,282214N,162351W,,,
C437E,CITFAGRO_81_MENA,STA. CRUZ DE TENERIFE,,500,281611N,162511W,,,
C438N,CANDELARIA,STA. CRUZ DE TENERIFE,,463,282133N,162406W,,,
C439J,GÜÍMAR,SANTA CRUZ DE TENERIFE,,115,281906N,162256W,,,
C446G,"SAN CRISTÓBAL DE LA LAGUNA,LLANO DE LOS LOROS",STA. CRUZ DE TENERIFE,,868,283135N,161649W,,,
C447A,TENERIFE NORTE AEROPUERTO,SANTA CRUZ DE TENERIFE,,632,282839N,161946W,,,
C448C,CITFAGRO_92_SANTACRUZ,STA. CRUZ DE TENERIFE,,136,282745N,161624W,,,
C449C,STA.CRUZ DE TENERIFE,SANTA CRUZ DE TENERIFE,,36,282748N,161519W,,,
C449F,ANAGA ,STA. CRUZ DE TENERIFE,,19,283029N,161144W,,,
C449Q,CITFAGRO_97_TAGANANA,STA. CRUZ DE TENERIFE,,305,283336N,161341W,,,
C453I,CITFAGRO_88_GAITERO,STA. CRUZ DE TENERIFE,,1744,282341N,162600W,,,
C455M,CITFAGRO_87_AGUAMANSA,STA. CRUZ DE TENERIFE,,1065,282142N,162949W,,,
C456E,CITFAGRO_10_RAVELO,STA. CRUZ DE TENERIFE,,922,282714N,162431W,,,
C456P,CITFAGRO_70_BENIJO,STA. CRUZ DE TENERIFE,,906,282141N,163248W,,,
C456R,CITFAGRO_69_SUERTE,STA. CRUZ DE TENERIFE,,551,282222N,163231W,,,
C457E,CITFAGRO_67_MATANZA,STA. CRUZ DE TENERIFE,,650,282658N,162617W,,,
C457I,LA VICTORIA DE ACENTEJO,STA. CRUZ DE TENERIFE,,567,282604N,162716W,,,
C458A,TACORONTE,STA. CRUZ DE TENERIFE,,310,282947N,162512W,,,
C458U,CITFAGRO_71_PALOB,STA. CRUZ DE TENERIFE,,595,282207N,163441W,,,
C459Z,PUERTO DE LA CRUZ,STA. CRUZ DE TENERIFE,,25,282505N,163254W,,,
C466O,CITFAGRO_91_CUBO,STA. CRUZ DE TENERIFE,,878,282021N,164740W,,,
C467I,CITFAGRO_73_REDON,STA. CRUZ DE TENERIFE,,525,282112N,164230W,,,
C468I,CITFAGRO_98_ELDRAGO,STA. CRUZ DE TENERIFE,,218,282201N,164320W,,,
C468O,CITFAGRO_62_TRIGO,STA. CRUZ DE TENERIFE,,450,282125N,164805W,,,
C468X,SAN JUAN DE LA RAMBLA,STA. CRUZ DE TENERIFE,,667,282223N,163733W,,,
C611E,VEGA DE SAN MATEO,LAS PALMAS,,1702,275836N,153502W,,,
