Código_AEMET,Nombre,Provincia,Municipio,Altitud,Latitud,Longitud,Tipo,Fecha_Inicio,Fecha_Final
B013X,"ESCORCA, LLUC",ILLES BALEARS,nan,490,394924N,025309E,,,
B051A,"SÓLLER, PUERTO",ILLES BALEARS,nan,5,394744N,024129E,,,
B087X,BANYALBUFAR,ILLES BALEARS,nan,60,394121N,023046E,,,
B103B,ANDRATX - SANT ELM,ILLES BALEARS,nan,52,393446N,022208E,,,
B158X,"CALVIÀ, ES CAPDELLÀ",BALEARES,nan,50,393305N,022759E,,,
B228,"PALMA, PUERTO",ILLES BALEARS,nan,3,393315N,023731E,,,
B236C,"PALMA, UNIVERSITAT",ILLES BALEARS,nan,95,393832N,023838E,,,
B248,"SIERRA DE ALFABIA, BUNYOLA",ILLES BALEARS,nan,1030,394406N,024247E,,,
B275E,"SON BONET, AEROPUERTO",BALEARES,nan,47,393621N,024224E,,,
B278,"PALMA DE MALLORCA, AEROPUERTO",BALEARES,nan,5,393339N,024412E,,,
B301,"LLUCMAJOR, CAP BLANC",ILLES BALEARS,nan,113,392247N,024706E,,,
B334X,LLUCMAJOR,ILLES BALEARS,nan,140,392944N,025330E,,,
B341X,PORRERES,ILLES BALEARS,nan,149,393022N,030020E,,,
B346X,PORRERES,ILLES BALEARS,nan,120,393118N,030109E,,,
B362X,"CAMPOS, CAN SION",ILLES BALEARS,nan,40,392421N,030351E,,,
B373X,"CAMPOS, SALINES LLEVANT",ILLES BALEARS,nan,3,392104N,030043E,,,
B398A,"CABRERA, PARQUE NACIONAL DE CABRERA",ILLES BALEARS,nan,165,390808N,025612E,,,
B410B,SANTANYÍ,ILLES BALEARS,nan,45,392024N,030845E,,,
B434X,PORTOCOLOM  ,ILLES BALEARS,nan,17,392452N,031618E,,,
B496X,SON SERVERA,ILLES BALEARS,nan,25,393749N,032301E,,,
B526X,ARTÀ,ILLES BALEARS,nan,110,394119N,032104E,,,
B569X,CAPDEPERA,ILLES BALEARS,nan,57,394300N,032841E,,,
B603X,ARTÀ-COLÒNIA DE SANT PERE,ILLES BALEARS,nan,99,394323N,031643E,,,
B605X,"MURO, S'ALBUFERA",ILLES BALEARS,nan,2,394748N,030617E,,,
B614E,MANACOR,ILLES BALEARS,nan,100,393325N,031304E,,,
B640X,PETRA,ILLES BALEARS,nan,95,393659N,030716E,,,
B644B,SINEU,ILLES BALEARS,nan,120,393836N,030008E,,,
B656A,SANTA MARÍA DEL CAMÍ,ILLES BALEARS,nan,121,393909N,024801E,,,
B662X,BINISSALEM,ILLES BALEARS,nan,105,394041N,025226E,,,
B684A,"ESCORCA, SON TORRELLA",ILLES BALEARS,nan,842,394734N,024716E,,,
B691,LA PUEBLA (SA CANOVA),BALEARES,nan,40,394454N,030055E,,,
B691Y,SA POBLA,BALEARES,nan,32,394457N,030100E,,,
B760X,POLLENÇA,ILLES BALEARS,nan,45,395237N,030127E,,,
B780X,PORT DE POLLENÇA,ILLES BALEARS,nan,2,395434N,030601E,,,
B800X,"LA MOLA, MAÓ",ILLES BALEARS,nan,78,395234N,041926E,,,
B825B,ES MERCADAL,ILLES BALEARS,nan,80,395926N,040511E,,,
B860X,CIUTADELLA,ILLES BALEARS,nan,20,395934N,035114E,,,
B870C,"CIUTADELLA, CALA GALDANA",ILLES BALEARS,nan,43,395641N,035724E,,,
B893,"MENORCA, AEROPUERTO",BALEARES,nan,91,395117N,041256E,,,
B908X,SANT JOAN DE LABRITJA,ILLES BALEARS,nan,110,390322N,012933E,,,
B925,SANT ANTONI DE PORTMANY,ILLES BALEARS,nan,32,385747N,011917E,,,
B954,"IBIZA, AEROPUERTO",ILLES BALEARS,nan,6,385235N,012304E,,,
B957,EIVISSA,ILLES BALEARS,nan,3,385522N,012629E,,,
B986,FORMENTERA,ILLES BALEARS,nan,24,384137N,012749E,,,
C018J,TÍAS,LAS PALMAS,nan,376,285811N,134125W,,,
C019V,YAIZA PLAYA BLANCA,LAS PALMAS,nan,6,285132N,135006W,,,
C029O,LANZAROTE AEROPUERTO,LAS PALMAS,nan,14,285707N,133601W,,,
C038N,HARÍA,LAS PALMAS,nan,277,290837N,132921W,,,
C048W,TINAJO,LAS PALMAS,nan,275,290233N,134051W,,,
C101A,ROQUE DE LOS MUCHACHOS,STA. CRUZ DE TENERIFE,nan,2223,284521N,175343W,,,
C117A,PUNTAGORDA,STA. CRUZ DE TENERIFE,nan,684,284538N,175908W,,,
C117Z,TIJARAFE,STA. CRUZ DE TENERIFE,nan,733,284029N,175612W,,,
C126A,EL PASO,STA. CRUZ DE TENERIFE,nan,844,283914N,175111W,,,
C129V,FUENCALIENTE,STA. CRUZ DE TENERIFE,nan,19,282718N,175028W,,,
C129Z,TAZACORTE,SANTA CRUZ DE TENERIFE,nan,62,283545N,175455W,,,
C139E,LA PALMA AEROPUERTO,SANTA CRUZ DE TENERIFE,nan,33,283759N,174518W,,,
C148F,SAN ANDRÉS Y SAUCES,STA. CRUZ DE TENERIFE,nan,362,284817N,174656W,,,
C229J,PÁJARA,LAS PALMAS,nan,15,280257N,142129W,,,
C239N,"TUINEJE,PUERTO GRAN TARAJAL",LAS PALMAS,nan,1,281231N,140123W,,,
C248E,ANTIGUA,LAS PALMAS,nan,252,282501N,140109W,,,
C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,nan,25,282641N,135147W,,,
C258K,LA OLIVA,LAS PALMAS,nan,217,283645N,135554W,,,
C314Z,"VALLEHERMOSO, ALTO IGUALERO  ",STA. CRUZ DE TENERIFE,nan,1474,280625N,171457W,,,
